Announced,Implemented,,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal
3/11/2003,3/13/2003,After Close,Apartment Investment & Management Co,AIV,AMR Corp.,AMR,Failure,Market cap changes
3/19/2003,3/20/2003,After Close,McCormick & Company,MKC,HEALTHSOUTH Corp.,HRC,Failure,Allegations company violated securities laws
3/25/2003,3/28/2003,After Close,Symantec Corp.,SYMC,Household International,HI,M&A,Acquisition by HSBC Holdings
4/9/2003,4/15/2003,After Close,Federated Investors Inc.,FII,Pharmacia Corp.,PHA,M&A,Acquisition by Pfizer
7/15/2003,7/16/2003,After Close,ProLogis,PLD,Mirant Corp,MIR,Failure,Bankruptcy
8/13/2003,8/19/2003,After Close,Medco Health Solutions Inc.,MHS,McDermott International,MDR,Failure,Market cap changes
9/23/2003,9/25/2003,After Close,Express Scripts,ESRX,Quintiles Transnational,QTRN,M&A,Taken private
11/6/2003,11/12/2003,After Close,BIOGEN IDEC,BIIB,Biogen Inc.,BGEN,M&A,Merger w/ IDEC becoming BIOGEN IDEC
2/23/2004,2/26/2004,After Close,M&T Bank Corp.,MTB,Concord EFS Inc.,CE,M&A,Acquisition by First Data Corp
3/16/2004,3/24/2004,After Close,Caremark Rx,CMX,Tupperware Corp.,TUP,Failure,Market cap changes
3/25/2004,3/31/2004,After Close,E*Trade Financial,ET,FleetBoston Financial,FBF,M&A,Acquisition by Bank of America
3/29/2004,4/1/2004,After Close,Affiliated Computer Services,ACS,Travelers Property Casualty,TAP.B,M&A,Acqusition by St. Paul Companies
4/19/2004,4/22/2004,After Close,Mylan Laboratories,MYL,Sprint PCS,PCS,Other,Sprint Corp eliminated Sprint PCS tracking stock
4/19/2004,4/28/2004,After Close,Valero Energy,VLO,John Hancock Financial Services,JHF,M&A,Acquisition by Manulife Financial Corp
4/26/2004,4/30/2004,After Close,Hospira Inc.,HSP,American Greetings,AM,Failure,Market cap changes
6/24/2004,6/30/2004,After Close,Sovereign Bancorp,SOV,Union Planters Corporation,UPC,M&A,Merger with Regions Financial
6/26/2004,6/30/2004,After Close,Gilead Sciences,GILD,Bank One Corp.,ONE,M&A,Acquisition by JP Morgan Chase
7/26/2004,8/2/2004,After Close,Fisher Scientific,FSH,Thomas & Betts,TNB,Failure,Market cap changes
8/26/2004,8/31/2004,After Close,Coach Inc.,COH,Charter One Financial,CF,M&A,Acquisition by Royal Bank of Scotland
10/25/2004,10/29/2004,After Close,Laboratory Corp of America Holdings,LH,South Trust Corp.,SOTR,M&A,Acquisition by Wachovia
10/25/2004,10/26/2004,After Close,CIT Group,CIT,AT&T Wireless,AWE,M&A,Acquisition by Cingular Wireless
11/10/2004,11/30/2004,After Close,L-3 Communications Holdings,LLL,WellPoint Health Networks,WLP,M&A,Acquisition by Anthem
11/29/2004,12/2/2004,After Close,Freescale Semiconductor Inc.,FSL.B,Winn-Dixie,WIN,Failure,Market cap changes
12/8/2004,12/17/2004,After Close,Archstone-Smith Trust,ASN,Crane Co.,CR,Failure,Market cap changes
12/8/2004,12/17/2004,After Close,News Corp.,NWS.A,Deluxe Corp.,DLX,Failure,Market cap changes
12/8/2004,12/17/2004,After Close,Compass Bancshares,CBSS,Worthington Industries,WOR,Failure,Market cap changes
12/21/2004,12/28/2004,After Close,XTO Energy,XTO,PeopleSoft Inc.,PSFT,M&A,Acquisition by Oracle
3/7/2005,3/11/2005,After Close,National Oilwell Varco,NOV,Power-One,PWER,Failure,Market cap changes
3/21/2005,3/24/2005,After Close,Sears Holdings Corp.,SHLD,Sears Roebuck & Co.,S,M&A,Merger with Kmart (creating Sears Holdings)
6/22/2005,7/1/2005,After Close,D.R. Horton,DHI,Veritas Software,VRTS,M&A,Acquisition by Symantec
6/28/2005,7/1/2005,After Close,Constellation Brands,STZ,Great Lakes Chemical,GLK,M&A,Acquisition by Crompton Corp
7/12/2005,7/21/2005,After Close,Weatherford Int'l,WFT,"Toys ""R"" US",TOY,M&A,Taken private
7/26/2005,8/11/2005,After Close,Vornado Realty Trust,VNO,SunGard Data Systems,SDS,M&A,Taken private
8/4/2005,8/12/2005,After Close,Murphy Oil,MUR,Nextel Communications,NXTL,M&A,Acquisition by Sprint
8/4/2005,8/10/2005,After Close,Tyson Foods,TSN,Unocal Corp.,UCL,M&A,Acquisition by Chevron
8/15/2005,8/18/2005,After Close,Public Storage,PSA,Delta Air Lines,DAL,Failure,Market cap changes
8/29/2005,8/29/2005,After Close,Coventry Health Care Inc.,CVH,May Dept. Stores,MAY,M&A,Acquisition by Federated Department Stores
9/26/2005,9/30/2005,After Close,Ameriprise Financial,AMI,Providian Financial,PVN,M&A,Acquisition by Washington Mutual
9/30/2005,10/3/2005,After Close,Lennar Corp.,LEN,Gillette Co.,G,M&A,Acquisition by Procter & Gamble
10/7/2005,10/10/2005,After Close,Patterson Companies Inc.,PDCO,Delphi Corp.,DPH,Failure,Bankruptcy
11/14/2005,11/18/2005,After Close,Amazon.com,AMZN,AT&T Corp.,T,M&A,Acquisition by SBC Communications
11/29/2005,12/1/2005,After Close,Genworth Financial Inc.,GNW,Calpine Corp.,CPN,Failure,Market cap changes
12/8/2005,12/15/2005,After Close,E.W. Scripps,SSP,Georgia-Pacific Group,GP,M&A,Acquisition by Koch Industries
12/27/2005,12/30/2005,After Close,Viacom Inc. (New),VIA.B,Visteon Corp.,VC,Failure,Market Cap changes
12/27/2005,12/30/2005,After Close,Whole Foods Market,WFMI,MBNA Corp.,KRB,M&A,Acquisition by Bank of America
1/3/2006,1/4/2006,After Close,Estee Lauder,EL,Mercury Interactive,MERQE,Failure,Delisting by Nasdaq
1/25/2006,1/31/2006,After Close,VeriSign Inc.,VRSN,Reebok Int'l,RBK,M&A,Acquisition by Adidas-Salomon
1/25/2006,1/31/2006,After Close,Harman Int'l,HAR,Siebel Systems Inc.,SEBL,M&A,Acquisition by Oracle
2/21/2006,2/24/2006,After Close,Barr Pharmaceuticals Inc.,BRL,Scientific-Atlanta,SFA,M&A,Acquisition by Cisco
3/1/2006,3/2/2006,After Close,Chesapeake Energy Corp.,CHK,Dana Corp.,DCN,Failure,Market cap changes
3/26/2006,3/31/2006,After Close,Google Inc.,GOOG,Burlington Resources Inc.,BR,M&A,Acquisition by ConocoPhillips
3/28/2006,4/3/2006,After Close,Kimco Realty Corp.,KIM,Jefferson-PilotCorp.,JP,M&A,Acquisition by Lincoln National
3/28/2006,3/31/2006,After Close,Boston Properties,BXP,Cinergy Corp.,CIN,M&A,Acquisition by Duke Energy
3/29/2006,3/31/2006,After Close,Dean Foods,DF,Maytag Corp.,MYG,M&A,Acquisition by Whirlpool
4/11/2006,4/21/2006,After Close,Legg Mason,LM,Guidant Co.,GDT,M&A,Acquisition by Boston Scientific
4/19/2006,4/19/2006,After Close,SanDisk Corp.,SNDK,Chiron Corp.,CHIR,M&A,Acquisition by Novartis
5/10/2006,5/17/2006,After Close,Embarq Corp.,EQ,Applied Micro Circuits Corp.,AMCC,Failure,Market cap changes
5/25/2006,6/1/2006,After Close,Juniper Neworks Inc.,JNPR,Albertson's Inc.,ABS,M&A,Acquisition by SuperValu
5/31/2006,6/5/2006,After Close,Commerce Bancorp,CBH,Engelhard Corp.,EC,M&A,Acquisition by BASF
6/22/2006,6/27/2006,After Close,CONSOL Energy Inc.,CNX,Knight-Ridder Inc.,KRI,M&A,Acquisition by McClatchy
7/11/2006,7/17/2006,After Close,Windstream Corp.,WIN,Cooper Tire & Rubber Co.,CTB,Failure,Market cap changes
7/24/2006,7/31/2006,After Close,Realogy Corp.,H,Gateway Inc.,GTW,Failure,Market cap changes
7/24/2006,7/31/2006,After Close,Wyndham Worldwide Corp.,WYN,Cendant Corp.,CD,Other,Cendant spins off Wyndham and Realogy
8/3/2006,8/10/2006,After Close,Chicago Mercantile Exchange Holdings,CME,Kerr-McGee Corp.,KMG,M&A,Acquisition by Anadarko Petroleum
9/25/2006,9/29/2006,After Close,Western Union Co.,WU,Andrew Corp.,ANDW,Failure,Market cap changes
9/27/2006,9/29/2006,After Close,Smith International,SII,Golden West Financial,GDW,M&A,Acquisition by Wachovia
10/30/2006,11/3/2006,After Close,Celgene Corp.,CELG,AmSouth Bancorp,ASO,M&A,Acquisition by Regions Financial
11/2/2006,11/9/2006,After Close,Fidelity National Information Services,FIS,Louisiana-Pacific Corp.,LPX,Failure,Market cap changes
11/6/2006,11/9/2006,After Close,CB Richard Ellis Group,CBG,Fisher Scientific,FSH,M&A,Acquisition by Thermo Electron Corp
11/13/2006,11/16/2006,After Close,Cognizant Technology Solutions,CTSH,Alberto-Culver Co. (old),ACV,Other,Splits up
11/15/2006,11/17/2006,After Close,Peabody Energy Corp,BTU,HCA Inc.,HCA,M&A,Taken private
11/21/2006,12/1/2006,After Close,DirecTV Group Inc.,DTV,Freescale Semiconductor Inc.,FSL.B,M&A,Taken private
11/22/2006,11/30/2006,After Close,IAC/InterActive Corp.,IACI,Lucent Technologies,LU,M&A,Acquisition by Alcatel
11/23/2006,11/30/2006,After Close,Questar Corp.,STR,North Fork Bancorp. Inc.,NFB,M&A,Acquisition by Capital One Financial
12/15/2006,12/19/2006,After Close,Terex Corp.,TEX,Navistar International,NAV,Failure,Delisting by NYSE
12/20/2006,12/29/2006,After Close,Spectra Energy Corp.,SE,Parametric Technology,PMTC,Failure,Market cap changes
1/2/2007,1/3/2007,After Close,ENSCO International,ESV,BellSouth Corp.,BLS,M&A,Acquisition by AT&T
1/3/2007,1/9/2007,After Close,AvalonBay Communities,AVB,Symbol Technologies,SBL,M&A,Acquisition by Motorola
1/31/2007,2/1/2007,After Close,Polo Ralph Lauren Corp.,RL,Comverse Technology,CMVT,Failure,Delisting by Nasdaq
2/5/2007,2/14/2007,After Close,Hudson City Bancorp.,HCBK,American Power Conversion,APCC,M&A,Acquisition by Schneider Electric
2/7/2007,2/21/2007,After Close,Integrys Energy Group Inc.,TEG,Peoples Energy,PGL,M&A,"Acquisition by WPS Resources, which changes its name to Integrys"
2/7/2007,2/9/2007,After Close,Varian Medical Systems,VAR,Equity Office Properties,EOP,M&A,Acquisition by Blackstone Group
2/26/2007,3/1/2007,After Close,C.H. Robinson Worldwide,CHRW,Health Management Assoc.,HMA,Other,Market cap changes (after payout of special dividend)
3/12/2007,3/19/2007,After Close,Host Hotels & Resorts,HST,Phelps Dodge,PD,M&A,Acquisition by Freeport-McMoRan Copper & Gold
3/16/2007,3/20/2007,After Close,Developers Diversified Realty,DDR,Caremark Rx Inc.,CMX,M&A,Acquisition by CVS
3/22/2007,3/30/2007,After Close,Kraft Foods Inc,KFT,Sabre Holding Corp.,TSG,M&A,Taken private
3/27/2007,3/28/2007,After Close,Abercrombie & Fitch Co.,ANF,Univision Communications,UVN,M&A,Taken private
4/2/2007,4/9/2007,After Close,Assurant Inc.,AIZ,Realogy Corp.,H,M&A,Taken private
5/22/2007,5/30/2007,After Close,MEMC Electronic Materials,WFR,Kinder Morgan,KMI,M&A,Taken private
5/30/2007,5/31/2007,After Close,Precision Castparts,PCP,MedImmune Inc.,MEDI,M&A,Acquisition by AstraZeneca
6/21/2007,6/29/2007,After Close,Tyco Electronics,TEL,PMC-Sierra,PMCS,Failure,Market cap changes
6/21/2007,6/29/2007,After Close,Covidien Ltd.,COV,Sanmina-SCI Corp.,SANM,Failure,Market cap changes
6/21/2007,6/29/2007,After Close,Discover Financial Services,DFS,ADC Telecomm. Inc.,ADCT,Failure,Market cap changes
6/25/2007,6/29/2007,After Close,General Growth Properties,GGP,Mellon Financial,MEL,M&A,Merger with Bank of New York
7/2/2007,7/6/2007,After Close,American Capital Strategies,ACAS,Dollar General,DG,M&A,Taken private
7/9/2007,7/11/2007,After Close,Akamai Technologies,AKAM,Biomet Inc.,BMET,M&A,Taken private
8/16/2007,8/24/2007,After Close,Leucadia National Corp.,LUK,Keyspan Energy,KSE,M&A,Acquisition by National Grid Plc
8/30/2007,9/7/2007,After Close,Microchip Technology,MCHP,Compass Bancshares,CBSS,M&A,Acquisition by Banco Bilbao Vizcaya Argentaria
9/24/2007,9/26/2007,After Close,Tesoro Petroleum Co.,TSO,Maxim Integrated Products,MXIM,Failure,Delisting by Nasdaq
9/24/2007,9/28/2007,After Close,Teradata Corp.,TDC,NCR Corp.,NCR,Other,Spins off Teradata
9/24/2007,10/1/2007,After Close,Expedia Inc.,EXPE,Solectron Corp.,SLR,M&A,Acquisition by Flextronics
9/24/2007,9/25/2007,After Close,IntercontinentalExchange Inc.,ICE,First Data Corp.,FDC,M&A,Taken private
10/1/2007,10/5/2007,After Close,Noble Energy Inc.,NBL,Archstone-Smith Trust,ASN,M&A,Taken private
10/8/2007,10/9/2007,After Close,Expeditors Int'l.,EXPD,TXU Corp.,TXU,M&A,Taken private
10/18/2007,10/26/2007,After Close,Titanium Metals Corp.,TIE,Bausch & Lomb Inc.,BOL,M&A,Taken private
10/18/2007,10/24/2007,After Close,NYSE Euronext,NYX,Hilton Hotels,HLT,M&A,Taken private
10/23/2007,10/25/2007,After Close,Jacobs Engineering Group,JEC,Avaya Inc.,AV,M&A,Taken private
11/1/2007,11/8/2007,After Close,Pepco Holdings Inc.,POM,Manor Care Inc.,HCR,M&A,Taken private
11/8/2007,11/16/2007,After Close,American Tower Corp.,AMT,ALLTEL Corp.,AT,M&A,Taken private
11/8/2007,11/15/2007,After Close,Manitowoc Co.,MTW,Tektronix Inc.,TEK,M&A,Acquisition by Danaher
12/5/2007,12/13/2007,After Close,GameStop Corp.,GME,Dow Jones & Co. Inc.,DJ,M&A,Acquisition by News Corp
12/19/2007,12/28/2007,After Close,Washington Post Co.,WPO,Temple-Inland Inc.,TIN,Other,Splits up
12/19/2007,12/31/2007,After Close,Total System Services,TSS,Synovus Financial,SNV,Other,Spins out Total System Services
12/20/2007,12/20/2007,After Close,Range Resources Corp.,RRC,Tribune Co.,TRB,M&A,Taken private
1/17/2008,1/28/2008,After Close,Cameron International,CAM,Harrah's Entertainment,HET,M&A,Taken private
3/20/2008,3/28/2008,After Close,Phillip Morris International Inc.,PM,Circuit City Stores Inc.,CC,Failure,Fails to meet consistent profit criteria
3/20/2008,3/31/2008,After Close,HCP Inc.,HCP,Commerce Bancorp,CBH,M&A,Acquisition by Toronto-Dominion Bank
5/22/2008,6/2/2008,After Close,Intuitive Surgical Inc.,ISRG,The Bear Stearns Companies Inc.,BSC,M&A,Acquisition by JP Morgan
5/27/2008,6/5/2008,After Close,Southwestern Energy Co.,SWN,Trane Inc.,TT,M&A,Acquisition by Ingersoll-Rand
6/3/2008,6/10/2008,After Close,Lorillard Inc.,LO,Ambac Financial Group Inc.,ABK,Failure,Market cap changes
6/12/2008,6/20/2008,After Close,Massey Energy Co.,MEE,OfficeMax Inc.,OMX,Failure,Market cap changes
6/12/2008,6/20/2008,After Close,Cabot Oil & Gas Corp.,COG,Brunswick Corp.,BC,Failure,Market cap changes
6/24/2008,6/30/2008,After Close,Scripps Networks Interactive,SNI,E.W. Scripps,SSP,Other,Splits up
6/26/2008,6/30/2008,After Close,AK Steel Holding Corp.,AKS,Countrywide Financial Corp.,CFC,M&A,Acquisition by Bank of America
7/10/2008,7/17/2008,After Close,MasterCard Inc.,MA,ACE Ltd.,ACE,Other,Redomesticates to Switzerland
7/24/2008,7/30/2008,After Close,DaVita Inc.,DVA,Clear Channel Communications Inc.,CCU,M&A,Taken private
8/13/2008,8/20/2008,After Close,Invesco Ltd.,IVZ,IAC/InterActiveCorp.,IACI,Other,Splits up
8/25/2008,8/26/2008,After Close,CF Industries,CF,Electronics Data Systems,EDS,M&A,Acquisition by Hewlett-Packard
9/9/2008,9/10/2008,After Close,Salesforce.com,CRM,Federal Home Loan Mortgage Corp.,FRE,Failure,Market cap changes (placed into conservatorship)
9/9/2008,9/10/2008,After Close,Fastenal Co.,FAST,Federal National Mortgage Association,FNM,Failure,Market cap changes (placed into conservatorship)
9/15/2008,9/19/2008,After Close,Harris Corp.,HRS,Lehman Brothers Holdings Inc.,LEH,Failure,Bankruptcy
9/22/2008,9/26/2008,After Close,Amphenol Corp.,APH,Wendy's International Inc.,WEN,Failure,Market cap changes (too small even after acquisition by Triarc)
9/22/2008,9/22/2008,After Close,Pioneer Natural Resources Co.,PXD,Safeco Corp.,SAF,M&A,Acquisition by Liberty Mutual Group
9/26/2008,9/29/2008,After Close,Flowserve Corp.,FLS,Washington Mutual Inc.,WM,Failure,Placed into receivership
9/29/2008,10/3/2008,After Close,Dr. Pepper Snapple Group Inc.,DPS,Wm. Wrigley Jr. Company,WWY,M&A,Acquisition by Mars
10/16/2008,10/21/2008,After Close,NASDAQ OMX Group Inc.,NDAQ,Dillard's Inc.,DDS,Failure,Market cap changes
10/28/2008,10/30/2008,After Close,Wisconsin Energy Corp.,WEC,MGIC Investment,MTG,Failure,Market cap changes
10/30/2008,11/5/2008,After Close,J.M. Smucker Co.,SJM,Terex Corporation,TEX,Failure,Market cap changes
11/7/2008,11/10/2008,After Close,People's United Financial Inc.,PBCT,Unisys Corp.,UIS,Failure,Market cap changes
11/10/2008,11/13/2008,After Close,DENTSPLY International Inc.,XRAY,Hercules Inc.,HPC,Failure,Market cap changes (too small even after acquisition by Ashland)
11/10/2008,11/13/2008,After Close,Wynn Resorts Ltd.,WYNN,Ashland Inc.,ASH,Failure,Market cap changes (too small even after it acquired Hercules)
11/11/2008,11/12/2008,After Close,Cephalon Inc.,CEPH,General Growth Properties Inc.,GGP,Failure,Market cap changes
11/17/2008,11/21/2008,After Close,Life Technologies Corp.,LIFE,Applied Biosystems Inc.,ABI,M&A,Acquisition by Invitrogen forms Life Technologies
11/17/2008,11/18/2008,After Close,Stericycle Inc.,SRCL,Anheuser-Busch,BUD,M&A,Acquisition by InBev
11/26/2008,12/1/2008,After Close,The Dun & Bradstreet Corp.,DNB,Liz Claiborne Inc.,LIZ,Failure,Market cap changes
11/26/2008,12/3/2008,After Close,Republic Services Inc.,RSG,Allied Waste Industries Inc.,AW,M&A,Acquisition by Republic Services
12/11/2008,12/18/2008,After Close,Equitable Resources Inc.,EQT,Transocean Inc.,RIG,Other,Redomesticates to Switzerland
12/18/2008,12/22/2008,After Close,McAfee Inc.,MFE,Barr Pharmaceuticals Inc.,BRL,M&A,Acquisition by Teva
12/23/2008,12/31/2008,After Close,FLIR Systems Inc,FLIR,National City Corp.,NCC,M&A,Acquisition by PNC Financial Services Group
12/23/2008,12/31/2008,After Close,Owens-Illinois Inc,OI,Wachovia Corp. (New),WB,M&A,Acquisition by Wells Fargo
12/23/2008,12/31/2008,After Close,SCANA Corp,SCG,Merrill Lynch,MER,M&A,Acquisition by Bank of America
12/29/2008,1/5/2009,After Close,Iron Mountain Inc.,IRM,UST Inc.,UST,M&A,Acquisition by Altria
1/22/2009,1/29/2009,After Close,Health Care REIT,HCN,Sovereign Bancorp.,SOV,M&A,Acquisition by Banco Santander
2/13/2009,2/25/2009,After Close,Diamond Offshore Drilling Inc.,DO,Weatherford International Ltd.,WFT,Other,Redomesticates to Switzerland
2/24/2009,3/3/2009,After Close,Ventas Inc.,VTR,Jones Apparel Group Inc.,JNY,Failure,Market cap changes
2/24/2009,3/3/2009,After Close,Hormel Foods Corp.,HRL,American Capital Ltd.,ACAS,Failure,Market cap changes
3/5/2009,3/16/2009,After Close,Northeast Utilities,NU,Tyco International Ltd.,TYC,Other,Redomesticates to Switzerland
3/18/2009,3/27/2009,After Close,Time Warner Cable Inc.,TWC,Developers Diversified Realty Corp.,DDR,Failure,Market cap changes
3/18/2009,3/26/2009,After Close,O'Reilly Automotive Inc.,ORLY,Noble Corp.,NE,Other,Redomesticates to Switzerland
3/25/2009,4/1/2009,After Close,Denbury Resources Inc.,DNR,Rohm and Haas Co.,ROH,M&A,Acquisition by Dow Chemical
5/21/2009,6/30/2009,After Close,Western Digital,WDC,Embarq Corp.,EQ,M&A,Acquisition by CenturyTel
5/28/2009,6/4/2009,After Close,FMC Technologies Inc.,FTI,Covidien Ltd.,COV,Other,Redomesticates to Ireland
6/1/2009,6/2/2009,After Close,DeVry Inc.,DV,General Motors Corp.,GM,Failure,Bankruptcy
6/4/2009,6/30/2009,After Close,Quanta Services Inc.,PWR,Ingersoll-Rand Company Ltd.,IR,Other,Redomesticates to Ireland
6/22/2009,6/25/2009,After Close,MetroPCS Communications Inc.,PCS,Tyco Electronics Ltd.,TEL,Other,Redomesticates to Switzerland
7/17/2009,7/24/2009,After Close,Red Hat Inc.,RHT,CIT Group Inc.,CIT,Failure,Market cap changes
8/11/2009,8/18/2009,After Close,FMC Corp.,FMC,Centex Corp.,CTX,M&A,Acquisition by Pulte Homes
8/24/2009,8/31/2009,After Close,CareFusion Corp.,CFN,The Manitowoc Company Inc.,MTW,Failure,Market cap changes
8/28/2009,9/8/2009,After Close,Airgas Inc,ARG,Cooper Industries Ltd.,CBE,Other,Redomesticates to Ireland
10/1/2009,10/15/2009,After Close,First Solar Inc,FSLR,Wyeth,WYE,M&A,Acquisition by Pfizer
10/29/2009,11/3/2009,After Close,Priceline.com,PCLN,Schering-Plough Corp.,SGP,M&A,Acquisition by Merck & Co.
12/11/2009,12/18/2009,After Close,Cliffs Natural Resources Inc,CLF,KB Home,KBH,Failure,Market cap changes
12/11/2009,12/18/2009,After Close,Mead Johnson Nutrition Co,MJN,MBIA Inc.,MBI,Failure,Market cap changes
12/11/2009,12/18/2009,After Close,Ross Stores Inc,ROST,Dynegy Inc.,DYNIQ,Failure,Market cap changes
12/11/2009,12/18/2009,After Close,SAIC Inc,LDOS,Convergys Corp.,CVG,Failure,Market cap changes
12/11/2009,12/18/2009,After Close,Visa Inc,VISA,Ciena Corp.,CIEN,Failure,Market cap changes
12/15/2009,12/22/2009,After Close,Roper Industries Inc,ROP,ENSCO Int'l,ESV,Other,Redomesticates to U.K.
1/21/2010,1/28/2010,After Close,NRG Energy,NRG,Sun Microsystems Inc,JAVA,M&A,Acquisition by Oracle
1/26/2010,2/12/2010,After Close,Berkshire Hathaway B,BRK.B,Burlington Northern Santa Fe Co,BNI,M&A,Acquisition by Berkshire Hathaway
1/29/2010,2/8/2010,After Close,Urban Outfitters,URBN,Affiliated Computer Services,ACS,M&A,Acquisition by Xerox
2/16/2010,2/26/2010,After Close,Discovery Communications Inc,DISCA,Pepsi Bottling Group Inc,PBG,M&A,Acquisition by PepsiCo
2/22/2010,2/26/2010,After Close,Helmerich & Payne Inc,HP,IMS Health Inc,RX,M&A,Taken private
3/3/2010,3/12/2010,After Close,ONEOK Inc,OKE,Black & Decker Corp,BDK,M&A,Acquisition by The Stanley Works
3/18/2010,4/29/2010,After Close,Cerner Corp.,CERN,BJ Services Company,BJS,M&A,Acquisition by Baker Hughes Inc.
6/22/2010,6/25/2010,After Close,"CarMax, Inc.",KMX,XTO Energy Inc.,XTO,M&A,Acquisition by ExxonMobil Inc.
6/23/2010,6/30/2010,After Close,QEP Resources Inc,QEP,Questar Corp.,STR,Other,Spins off QEP Resources
7/8/2010,7/14/2010,After Close,Ace Limited,ACE,Millipore Inc.,MIL,M&A,Acquisition by Merck KGaA
8/19/2010,8/26/2010,After Close,Tyco International Ltd.,TYC,Smith International Inc.,SII,M&A,Acquisition by Schlumberger Ltd.
11/10/2010,11/16/2010,After Close,Ingersoll-Rand Plc,IR,Pactiv Corporation,PTV,M&A,Acquisition by Reynolds Group Holdings
12/9/2010,12/17/2010,After Close,F5 Networks Inc.,FFIV,The New York Times Co.,NYT,Failure,Market cap changes
12/9/2010,12/17/2010,After Close,Netflix Inc.,NFLX,Office Depot Inc.,ODP,Failure,Market cap changes
12/9/2010,12/17/2010,After Close,Newfield Exploration Co.,NFX,Eastman Kodak Co.,EKDKQ,Failure,Market cap changes
12/9/2010,12/17/2010,After Close,Cablevision Systems Corp.,CVC,King Pharmaceuticals Inc.,KG,M&A,Acquisition by Pfizer Inc.
12/22/2010,1/3/2011,After Close,"Motorola Mobility Holdings, Inc",MMI,Meredith Corp,MDP,Failure,Market cap changes
1/11/2011,1/14/2011,After Close,Noble Corp,NE,QLogic Corp,QLG,Failure,Market cap changes
1/26/2011,2/28/2011,After Close,Covidien Plc,COV,McAfee Inc.,MFE,M&A,Acquisition by Intel Corp.
2/16/2011,2/25/2011,After Close,Joy Global Inc.,JOY,Allegheny Energy Inc.,AYE,M&A,Acquisition by First Energy
3/24/2011,3/31/2011,After Close,Edwards Lifesciences,EW,Qwest Communications,QWST,M&A,Acquisition by CenturyLink
3/29/2011,4/1/2011,After Close,BlackRock,BLK,Genzyme Corp.,GENZ,M&A,Acquisition by Sanofi-Aventis
4/20/2011,4/27/2011,After Close,Chipotle,CMG,"Novell, Inc.",NOVL,M&A,Taken private
5/24/2011,6/1/2011,After Close,"Alpha Natural Resources, Inc.",ANRZQ,Massey Energy Company,MEE,M&A,Acquisition by Alpha Natural Resources
5/26/2011,6/2/2011,After Close,ProLogis Inc.,PLD,ProLogis,SCN,M&A,Acquisition by AMB Property (then renamed ProLogis Inc.)
6/23/2011,6/30/2011,After Close,Marathon Petroleum Corp,MPC,RadioShack Corp.,RSH,Failure,Market cap changes
6/27/2011,7/5/2011,After Close,Accenture plc,ACN,Marshall & Ilsley Corp.,MI,M&A,Acquisition by Bank of Montreal
9/21/2011,9/23/2011,After Close,The Mosaic Company,MOS,National Semiconductor Corp.,NSM,M&A,Acquisition by Texas Instruments
10/11/2011,10/14/2011,After Close,TE Connectivity Ltd.,TEL,Cephalon Inc.,CEPH,M&A,Acquisition by Teva Pharmaceutical Industries
10/24/2011,10/31/2011,After Close,Xylem Inc.,XYL,ITT Corp.,ITT,Other,Spins off Xylem
11/18/2011,11/22/2011,After Close,Cooper Industries,CBE,Janus Capital Group,JNS,Failure,Market cap changes
12/8/2011,12/16/2011,After Close,BorgWarner Inc.,BWA,AK Steel Holding Corp.,AKS,Failure,Market cap changes
12/8/2011,12/16/2011,After Close,Perrigo Co.,PRGO,Monster Worldwide Inc.,MWW,Failure,Market cap changes
12/8/2011,12/16/2011,After Close,Dollar Tree Inc.,DLTR,MEMC Electronic Materials Inc.,WFR,Failure,Market cap changes
12/8/2011,12/12/2011,After Close,AGL Resources Inc.,GAS,Nicor Inc.,GAS,M&A,Acquisition by AGL Resources
12/14/2011,12/20/2011,After Close,TripAdvisor Inc.,TRIP,Tellabs Inc.,TLAB,Failure,Market cap changes
12/22/2011,12/30/2011,After Close,WPX Energy Inc.,WPX,Compuware Corp,CPWR,Failure,Market cap changes
3/12/2012,3/13/2012,After Close,Crown Castle International Corp.,CCI,Constellation Energy Group,CEG,M&A,Acquisition by Exelon Corp.
4/2/2012,4/3/2012,After Close,"Fossil, Inc.",FOSL,Medco Health Solutions Inc.,MHS,M&A,Acquisition by Express Scripts
4/23/2012,4/23/2012,After Close,Phillips 66,PSX,Supervalu Inc.,SVU,Failure,Market cap changes
5/10/2012,6/5/2012,After Close,Lam Research,LRCX,Novellus Systems,NVLS,M&A,Acquisition by Lam Research
5/17/2012,5/24/2012,After Close,Kinder Morgan,KMI,El Paso Corp.,EP,M&A,Acquisition by Kinder Morgan
5/21/2012,5/24/2012,After Close,Alexion Pharmaceuticals,ALXN,Motorola Mobility,MMI,M&A,Acquisition by Google
6/21/2012,6/29/2012,After Close,Monster Beverage,MNST,Sara Lee Corp.,SLE,Other,Splits up
6/25/2012,6/29/2012,After Close,Seagate Technology,STX,Progress Energy Inc,PGN,M&A,Acquisition by Duke Energy
7/26/2012,7/30/2012,After Close,Ensco plc,ESV,Goodrich Corporation,GR,M&A,Acquisition by United Technologies
8/29/2012,9/4/2012,After Close,LyondellBasell,LYB,Sears Holdings Corporation,SHLD,Other,Below public float threshold
9/24/2012,10/1/2012,After Close,ADT Corp,ADT,Lexmark Int'l Inc,LXK,Failure,Market cap changes
9/24/2012,9/28/2012,After Close,Pentair Ltd.,PNR,"DeVry, Inc.",DV,Failure,Market cap changes
