Announced,Implemented,,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal
03/06/2017,03/13/2017,Before Open,DISH Network Corp.,DISH,Linear Technology Corp.,LLTC,M&A,Acquisition by Analog Devices Inc.
03/10/2017,03/20/2017,Before Open,Advanced Micro Devices Inc.,AMD,Urban Outfitters Inc.,URBN,Failure,Market cap changes
03/10/2017,03/20/2017,Before Open,Raymond James Financial Inc.,RJF,Frontier Communications Corp.,FTR,Failure,Market cap changes
03/10/2017,03/20/2017,Before Open,Alexandria Real Estate Equities Inc.,ARE,First Solar Inc.,FSLR,Failure,Market cap changes
03/13/2017,03/16/2017,Before Open,Synopsys Inc.,SNPS,Harman International Industries Inc.,HAR,M&A,"Acquisition by Samsung Electronics Co. Ltd., resulting in foreign domicile"
03/28/2017,04/04/2017,Before Open,Computer Sciences Corp.,CSC,Southwestern Energy Co.,SWN,Failure,Market cap changes
03/29/2017,04/05/2017,Before Open,Gartner Inc.,IT,The Dun & Bradstreet Corp.,DNB,Failure,Market cap changes
05/24/2017,06/02/2017,Before Open,IHS Markit Ltd.,INFO,TEGNA Inc.,TGNA,Other,Spins off Cars.com (CARS)
06/09/2017,06/19/2017,Before Open,Hilton Worldwide Holdings Inc.,HLT,Yahoo! Inc.,YHOO,M&A,Acquisition by Verizon Communications Inc.
06/09/2017,06/19/2017,Before Open,Align Technology Inc.,ALGN,Teradata Corp.,TDC,Failure,Market cap changes
06/09/2017,06/19/2017,Before Open,ANSYS Inc.,ANSS,Ryder System Inc.,R,Failure,Market cap changes
06/12/2017,06/19/2017,Before Open,Everest Re Group Ltd,RE,Mead Johnson Nutrition Co.,MJN,M&A,"Acquisition by Reckitt Benckiser Group plc, resulting in foreign domicile"
07/19/2017,07/26/2017,Before Open,MGM Resorts Int’l.,MGM,Reynolds American Inc.,RAI,M&A,"Acquisition by British American Tobacco plc, resulting in foreign domicile"
07/19/2017,07/26/2017,Before Open,ResMed Inc.,RMD,Mallinckrodt plc,MNK,Failure,Market cap changes
07/19/2017,07/26/2017,Before Open,Packaging Corporation of America,PKG,Murphy Oil Corp.,MUR,Failure,Market cap changes
07/19/2017,07/26/2017,Before Open,A.O. Smith Corp.,AOS,Bed Bath & Beyond Inc.,BBBY,Failure,Market cap changes
07/19/2017,07/26/2017,Before Open,Duke Realty Corp.,DRE,Transocean Ltd.,RIG,Failure,Market cap changes
07/31/2017,08/07/2017,Before Open,Brighthouse Financial Inc.,BHF,N/A,N/A,Other,Spinned off from MetLife Inc.
07/31/2017,08/08/2017,Before Open,N/A,N/A,AutoNation Inc.,AN,Failure,Market cap changes
08/24/2017,08/29/2017,Before Open,Quintiles IMS Holdings Inc.,Q,Whole Foods Market Inc.,WFM,M&A,Acquisition by Amazon.com Inc.
08/24/2017,09/01/2017,Before Open,SBA Communications Corp.,SBAC,E. I. du Pont de Nemours,DD,M&A,Acquisition by The Dow Chemical Company
09/08/2017,09/18/2017,Before Open,Cadence Design Systems Inc.,CDNS,Staples Inc.,SPLS,M&A,Taken private
10/04/2017,10/13/2017,Before Open,Norwegian Cruise Line Holdings Ltd.,NCLH,Level 3 Communications Inc.,LVLT,M&A,Acquisition by CenturyLink Inc.
